StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex,AvgDistance,MinDistance
82898,114212,218537,8808,, ,,23.12992695,63.6334709,374.5318352,6.25,-1.617443693,B3V ,-0.025,0.086449,0.000009
73000,100651,194668,7815,, ,,20.40898783,53.55190298,448.4304933,6.49,-1.768475685,B9.5III ,-0.025,0.095092,0.000009
13547,19343,25940,1273,, 48 Per,,4.14435368,47.71259359,169.7792869,3.96,-2.189423526,B3Ve ,-0.025,0.120109,0.000014
23484,32398,48922,, ,,,6.76390476,-0.71644883,201.6129032,6.78,0.257408382,A0 ,-0.025,0.007838,0
62243,86474,160147,, ,,,17.66936732,-39.20496324,282.4858757,7.44,0.18501631,B7/B8IV ,-0.025,0.009482,0.000006
11541,16450,21672,, ,,,3.53164649,48.73521837,204.0816327,6.62,0.0709804,B8V ,-0.025,0.012361,0.000001
36239,48882,86910,, ,,,9.96996666,-72.06471297,308.6419753,7.47,0.022725051,B8V ,-0.025,0.013676,0
56838,78946,145082,, ,,,16.11654781,47.5050232,234.1920375,6.65,-0.197860625,A0 ,-0.025,0.020417,0.000003
40486,54684,97398,, ,,,11.19455714,-60.31079901,253.8071066,6.68,-0.342518891,B8V ,-0.025,0.025433,0.000006
20574,28787,41075,, ,,,6.07770581,38.57512972,316.4556962,6.93,-0.571564587,B8 ,-0.025,0.034318,0.000001
81466,112169,215371,, ,,,22.71788058,65.33625595,342.4657534,6.76,-0.913085743,B1.5V ,-0.025,0.04951,0.000002
36564,49319,87330,, ,,,10.06704018,-18.10104079,826.446281,7.14,-2.446073148,B9III/IV ,-0.025,0.135881,0.000005
14819,21038,28459,1419,, ,,4.5106673,32.45781487,94.07337723,6.18,1.312666323,B9.5Vn ,-0.026,0.00202,0.000002
53842,74490,134946,5655,, ,,15.22150721,-24.00827351,126.4222503,6.47,0.960882417,B8III ,-0.026,0.000003,0.000002
64617,89674,166841,6808,, ,,18.30026576,-68.22921619,213.6752137,6.32,-0.328770735,B9V ,-0.026,0.024937,0
5550,7939,10260,481,, ,,1.70080563,61.03825058,304.8780488,6.69,-0.730630781,B8IIIp (Si) ,-0.026,0.041127,0.000002
53014,73266,132094,, ,,,14.97341078,-37.36241833,146.1988304,7.26,1.435280509,B9V ,-0.026,0.003448,0.000001
21649,30088,44200,, ,,,6.33260361,-13.99302762,129.3661061,6.67,1.11089747,B9V ,-0.026,0.000438,0.000008
69120,95605,183204,, ,,,19.44562008,39.96150716,194.5525292,7.42,0.974815595,A0 ,-0.026,0.000012,0
